threshold,p,r,f
0,0.05555555555555555,1.0,0.10526315789473684
0.05,0.06506632975363234,1.0,0.12218268090154212
0.1,0.11335578002244669,0.9805825242718447,0.2032193158953722
0.15,0.189873417721519,0.8737864077669902,0.31195840554592724
0.2,0.32599118942731276,0.7184466019417476,0.44848484848484843
0.25,0.45689655172413796,0.5145631067961165,0.4840182648401827
0.3,0.6515151515151515,0.4174757281553398,0.5088757396449705
0.35,0.7083333333333334,0.3300970873786408,0.4503311258278146
0.4,0.7407407407407407,0.1941747572815534,0.30769230769230765
0.45,0.7,0.13592233009708737,0.22764227642276424
0.5,0.7857142857142857,0.10679611650485436,0.18803418803418803
0.55,0.8181818181818182,0.08737864077669903,0.15789473684210528
0.6,0.8,0.07766990291262135,0.1415929203539823
0.65,0.7142857142857143,0.04854368932038835,0.09090909090909091
0.7,0.7142857142857143,0.04854368932038835,0.09090909090909091
0.75,0.8333333333333334,0.04854368932038835,0.09174311926605504
0.8,0.8,0.038834951456310676,0.07407407407407407
0.85,1.0,0.038834951456310676,0.07476635514018691
