threshold,p,r,f
0,0.05555555555555555,1.0,0.10526315789473684
0.05,0.05650027427317608,1.0,0.10695742471443405
0.1,0.06527249683143219,1.0,0.12254610350981557
0.15,0.0860484544695071,1.0,0.15846153846153846
0.2,0.1265984654731458,0.9611650485436893,0.22372881355932206
0.25,0.19198312236286919,0.883495145631068,0.31542461005199307
0.3,0.2883895131086142,0.7475728155339806,0.4162162162162162
0.35,0.37423312883435583,0.5922330097087378,0.4586466165413533
0.4,0.5176470588235295,0.42718446601941745,0.46808510638297873
0.45,0.6071428571428571,0.3300970873786408,0.4276729559748428
0.5,0.7096774193548387,0.21359223300970873,0.3283582089552239
0.55,0.6470588235294118,0.10679611650485436,0.18333333333333335
0.6,0.7142857142857143,0.0970873786407767,0.17094017094017094
0.65,0.6666666666666666,0.07766990291262135,0.1391304347826087
0.7,0.8571428571428571,0.05825242718446602,0.1090909090909091
0.75,0.8571428571428571,0.05825242718446602,0.1090909090909091
0.8,0.8333333333333334,0.04854368932038835,0.09174311926605504
0.85,1.0,0.04854368932038835,0.09259259259259259
